"Place Name", "Latitude", "Longitude"
"=========== Manually Tweaked Values - Start ============="
"Magnolia, TX",30.2103477,-95.7513900
"Blackhawk, CA",37.8218785,-121.9082754
"La Canada, CA",34.2105500,-118.2004410
"Furnace Creek, DV, CA",36.4580039,-116.8708863
"State Capitol Building, Raleigh, NC",35.780377,-78.639106
"State Capitol Building, Richmond, VA",37.5378108,-77.4342212
"Sunland, CA",34.2669400,-118.3013900
"Waterford, Eagle Lake Park, WI",42.7630722,-88.2142563
"US Border on Minnesota 61, MN",48.0012249,-89.5892315
"Roosevelt, WA",45.7429070,-120.2158771
"NC/VA State line on Blue Ridge Parkway, NC",36.5592791,-80.9104750
"SH 160 at NC/SC state line, NC",35.0756861,-80.9890386
"Leucadia, CA",33.0680560,-117.3025000
"Houghton, MI",47.121921,-88.569031
"Wilson's Corner, TX",31.681826,-102.338902
"Wilsons Corner, TX",31.681826,-102.338902
"Honolulu, HI",21.3069,-157.8583
"Westmoreland, CA",33.0372,-115.6206
"Westmorland, CA",33.0372,-115.6206
"=========== Manually Tweaked Values - Finish ============="
"Durham, NC",35.9940329,-78.898619
"San Diego, CA",32.7153292,-117.1572551
"Saint Joseph, MO",39.7577778,-94.8363889
"Bolivar, TX",33.3584483,-97.2452944
"Oceanside, CA",33.1958696,-117.3794834
"Seattle, WA",47.6062095,-122.3320708
"Bainbridge, WA",47.655097,-122.5179118
"Houston, TX",29.7628844,-95.3830615
"Mercer Island, WA",47.5706548,-122.2220673
"Ventura, CA",34.265900,-119.258366
"Olympia, WA",47.0378741,-122.9006951
"Washington, DC",38.8951118,-77.0363658
"Hood River, OR",45.7053966,-121.5214623
"Columbia Furnace, VA",38.8762228,-78.6255697
"Willow Park, TX",32.7626286,-97.6505822
"Castro Valley, CA",37.6940973,-122.0863522
"Lafayette, CA",37.8857582,-122.1180201
"Talihina, OK",34.7514893,-95.0480162
"Baxter Springs, KS",37.0236759,-94.7355042
