Place,Lat,Lon
"Aberdeen, WA",46.9753708,-123.8157218
"Abilene, KS",38.9172216,-97.2139094
"Abilene, TX",32.4487364,-99.7331439
"Abington, PA",40.1240795,-75.1195107
"Adel, IA",41.6144325,-94.017453
"Adrian, MI",41.8975471,-84.0371659
"Ainsworth, NE",42.5449992,-99.8615126
"Ainswroth, NE",42.5449992,-99.8615126
"Ajo, AZ",32.3717248,-112.86071
"Akron, OH",41.0814447,-81.5190053
"Alamo, CA",37.8502032,-122.032184
"Albion, MI",42.243097,-84.7530304
"Albuquerque, NM",35.0853336,-106.6055534
"Alexandria, VA",38.8048355,-77.0469214
"Alfalfa, OR",44.0775,-121.01583
"Allison Park, PA",40.5594832,-79.9592134
"Alma, WI",44.3199654,-91.9148839
"Alpine, CA",32.8350521,-116.7664109
"Altadena, CA",34.190162,-118.1313188
"Altoona, PA",40.5186809,-78.3947359
"Alvarado, TX",32.4065312,-97.2116782
"Ames, IA",42.02335,-93.625622
"Amherst, MA",42.3732216,-72.5198537
"Anacortes, WA",48.5126045,-122.6126718
"Anaheim, CA",33.8352932,-117.9145036
"Anchor Bay, CA",38.8026883,-123.5777894
"Anchorage, AK",61.2180556,-149.9002778
"Anderson, SC",34.5034394,-82.6501332
"Annapolis, MD",38.9784453,-76.4921829
"Anniston, AL",33.6598257,-85.8316318
"Antlers, OK",34.231212,-95.6202476
"Apache Junction, AZ",33.4150485,-111.5495777
"Apopka, FL",28.6934076,-81.5322149
"Apple Valley, MN",44.7319094,-93.21772
"Appleton, WI",44.2619309,-88.4153847
"Appling, GA",33.545833,-82.315833
"Aptos, CA",36.9771729,-121.8994016
"Arcadia, FL",27.2158826,-81.8584164
"Arcata, CA",40.8665166,-124.0828396
"Arlington, TX",32.735687,-97.1080656
"Arlington, VA",38.8799697,-77.1067698
"Arlington, WA",48.1987118,-122.1251418
"Arrington, TN",35.8681199,-86.7091643
"Asheville, NC",35.6009452,-82.554015
"Ashford, WA",46.7584413,-122.0309409
"Ashland, VA",37.7590318,-77.4799837
"Ashland, WI",46.5924428,-90.8837982
"Astoria, OR",46.1878841,-123.8312534
"Athens, GA",33.955802,-83.3823656
"Athens, OH",39.3292396,-82.1012554
"Athens, TN",35.4428512,-84.5929898
"Atlanta, GA",33.7489954,-84.3879824
"Atlanta, IL",40.2594846,-89.2334236
"Aurora, CO",39.7294319,-104.8319195
"Austin, TX",30.267153,-97.7430608
"Avenue City, MO",39.8633274,-94.7571864
"Bainbridge Island, WA",47.6262081,-122.5212448
"Bainbridge, WA",47.655097,-122.5179118
"Baker City, OR",44.7748748,-117.8343848
"Bandera, TX",29.7266131,-99.0736462
"Bandon, OR",43.1189978,-124.408448
"Banks, OR",45.6187245,-123.1142758
"Bansall, CA",33.2889226,-117.2255903
"Bardwell, TX",32.2690354,-96.6961027
"Battle Creek, MI",42.3211522,-85.1797142
"Baxter Springs, KS",37.0236759,-94.7355042
"Baxter, TN",36.1536718,-85.6435909
"Bayfield, WI",46.8107671,-90.81824
"Beaver, OR",45.2767726,-123.8265055
"Beaverton, OR",45.487062,-122.8037102
"Belgrade, MT",45.7786111,-111.1788889
"Bellaire, TX",29.7057858,-95.4588299
"Belle Plaine, IA",41.8955529,-92.2757404
"Bellemont, AZ",35.2380657,-111.8334974
